Datetime (HB),neg_shadow_price,shadow_price
2025-01-01T00:00:00.000000-0500,-182.49,182.49
2025-01-01T01:00:00.000000-0500,-164.61,164.61
2025-01-01T02:00:00.000000-0500,-187.4,187.4
2025-01-01T03:00:00.000000-0500,-204.85,204.85
2025-01-01T04:00:00.000000-0500,-147.24,147.24
2025-01-01T05:00:00.000000-0500,-370.68,370.68
2025-01-01T06:00:00.000000-0500,-222.34,222.34
2025-01-01T07:00:00.000000-0500,-223.86,223.86
2025-01-01T08:00:00.000000-0500,-125,125
2025-01-01T09:00:00.000000-0500,-43.02,43.02
2025-01-01T10:00:00.000000-0500,-81.12,81.12
2025-01-01T11:00:00.000000-0500,-72.74,72.74
2025-01-01T12:00:00.000000-0500,-79.41,79.41
2025-01-01T13:00:00.000000-0500,-80.46,80.46
2025-01-01T14:00:00.000000-0500,-72.48,72.48
2025-01-01T15:00:00.000000-0500,-87,87
2025-01-01T16:00:00.000000-0500,-133.73,133.73
2025-01-01T17:00:00.000000-0500,-147.33,147.33
2025-01-01T18:00:00.000000-0500,-150.12,150.12
2025-01-01T19:00:00.000000-0500,-144.4,144.4
2025-01-01T20:00:00.000000-0500,-124.76,124.76
2025-01-01T21:00:00.000000-0500,-111.83,111.83
2025-01-01T22:00:00.000000-0500,-91.23,91.23
2025-01-01T23:00:00.000000-0500,-89.94,89.94
2025-01-02T00:00:00.000000-0500,-89.36,89.36
2025-01-02T01:00:00.000000-0500,-82.51,82.51
2025-01-02T02:00:00.000000-0500,-80.25,80.25
2025-01-02T03:00:00.000000-0500,-80.04,80.04
2025-01-02T04:00:00.000000-0500,-85.54,85.54
2025-01-02T05:00:00.000000-0500,-115.18,115.18
2025-01-02T06:00:00.000000-0500,-241.32,241.32
2025-01-02T07:00:00.000000-0500,-323.1,323.1
2025-01-02T08:00:00.000000-0500,-180.49,180.49
2025-01-02T09:00:00.000000-0500,-120.64,120.64
2025-01-02T10:00:00.000000-0500,-146.45,146.45
2025-01-02T11:00:00.000000-0500,-153.34,153.34
2025-01-02T12:00:00.000000-0500,-131.98,131.98
2025-01-02T13:00:00.000000-0500,-123.3,123.3
2025-01-02T14:00:00.000000-0500,-150.24,150.24
2025-01-02T15:00:00.000000-0500,-234.78,234.78
2025-01-02T16:00:00.000000-0500,-172.88,172.88
2025-01-02T17:00:00.000000-0500,-298.97,298.97
2025-01-02T18:00:00.000000-0500,-286.73,286.73
2025-01-02T19:00:00.000000-0500,-172.21,172.21
2025-01-02T20:00:00.000000-0500,-190.44,190.44
2025-01-02T21:00:00.000000-0500,-184.67,184.67
2025-01-02T22:00:00.000000-0500,-122.22,122.22
2025-01-02T23:00:00.000000-0500,-120.13,120.13
2025-01-03T00:00:00.000000-0500,-241.42,241.42
2025-01-03T01:00:00.000000-0500,-250.24,250.24
2025-01-03T02:00:00.000000-0500,-264.31,264.31
2025-01-03T03:00:00.000000-0500,-273.71,273.71
2025-01-03T04:00:00.000000-0500,-288.88,288.88
2025-01-03T05:00:00.000000-0500,-330.24,330.24
2025-01-03T06:00:00.000000-0500,-472.54,472.54
2025-01-03T07:00:00.000000-0500,-557.4,557.4
2025-01-03T08:00:00.000000-0500,-454.03,454.03
2025-01-03T09:00:00.000000-0500,-329.07,329.07
2025-01-03T10:00:00.000000-0500,-287.24,287.24
2025-01-03T11:00:00.000000-0500,-292.44,292.44
2025-01-03T12:00:00.000000-0500,-283.34,283.34
2025-01-03T13:00:00.000000-0500,-291.26,291.26
2025-01-03T14:00:00.000000-0500,-495.14,495.14
2025-01-03T15:00:00.000000-0500,-477.01,477.01
2025-01-03T16:00:00.000000-0500,-320.31,320.31
2025-01-03T17:00:00.000000-0500,-320.86,320.86
2025-01-03T18:00:00.000000-0500,-386.47,386.47
2025-01-03T19:00:00.000000-0500,-327.96,327.96
2025-01-03T20:00:00.000000-0500,-250.69,250.69
2025-01-03T21:00:00.000000-0500,-216.72,216.72
2025-01-03T22:00:00.000000-0500,-155.62,155.62
2025-01-03T23:00:00.000000-0500,-171.67,171.67
2025-01-04T00:00:00.000000-0500,-257.63,257.63
2025-01-04T01:00:00.000000-0500,-319.85,319.85
2025-01-04T02:00:00.000000-0500,-351.78,351.78
2025-01-04T03:00:00.000000-0500,-353.45,353.45
2025-01-04T04:00:00.000000-0500,-290.43,290.43
2025-01-04T05:00:00.000000-0500,-416.64,416.64
2025-01-04T06:00:00.000000-0500,-573.71,573.71
2025-01-04T07:00:00.000000-0500,-583.31,583.31
2025-01-04T08:00:00.000000-0500,-478.48,478.48
2025-01-04T09:00:00.000000-0500,-437.96,437.96
2025-01-04T10:00:00.000000-0500,-389.18,389.18
2025-01-04T11:00:00.000000-0500,-399.59,399.59
2025-01-04T12:00:00.000000-0500,-358.49,358.49
2025-01-04T13:00:00.000000-0500,-349.42,349.42
2025-01-04T14:00:00.000000-0500,-401.07,401.07
2025-01-04T15:00:00.000000-0500,-400.17,400.17
2025-01-04T16:00:00.000000-0500,-616.98,616.98
2025-01-04T17:00:00.000000-0500,-1044.49,1044.49
2025-01-04T18:00:00.000000-0500,-786.39,786.39
2025-01-04T19:00:00.000000-0500,-744.07,744.07
2025-01-04T20:00:00.000000-0500,-793.82,793.82
2025-01-04T21:00:00.000000-0500,-604.97,604.97
2025-01-04T22:00:00.000000-0500,-554.39,554.39
2025-01-04T23:00:00.000000-0500,-843.22,843.22
2025-01-05T00:00:00.000000-0500,-298.66,298.66
2025-01-05T01:00:00.000000-0500,-303.46,303.46
2025-01-05T02:00:00.000000-0500,-300.25,300.25
2025-01-05T03:00:00.000000-0500,-304.24,304.24
2025-01-05T04:00:00.000000-0500,-392.46,392.46
2025-01-05T05:00:00.000000-0500,-504.18,504.18
2025-01-05T06:00:00.000000-0500,-822.5,822.5
2025-01-05T07:00:00.000000-0500,-853.28,853.28
2025-01-05T08:00:00.000000-0500,-538.56,538.56
2025-01-05T09:00:00.000000-0500,-325.19,325.19
2025-01-05T10:00:00.000000-0500,-269.33,269.33
2025-01-05T11:00:00.000000-0500,-311.1,311.1
2025-01-05T12:00:00.000000-0500,-301.33,301.33
2025-01-05T13:00:00.000000-0500,-327.96,327.96
2025-01-05T14:00:00.000000-0500,-292.01,292.01
2025-01-05T15:00:00.000000-0500,-232.27,232.27
2025-01-05T16:00:00.000000-0500,-442.3,442.3
2025-01-05T17:00:00.000000-0500,-638.17,638.17
2025-01-05T18:00:00.000000-0500,-667.86,667.86
2025-01-05T19:00:00.000000-0500,-653.65,653.65
2025-01-05T20:00:00.000000-0500,-668.47,668.47
2025-01-05T21:00:00.000000-0500,-542.69,542.69
2025-01-05T22:00:00.000000-0500,-451.52,451.52
2025-01-05T23:00:00.000000-0500,-398.39,398.39
2025-01-06T00:00:00.000000-0500,-514.58,514.58
2025-01-06T01:00:00.000000-0500,-501.15,501.15
2025-01-06T02:00:00.000000-0500,-496.22,496.22
2025-01-06T03:00:00.000000-0500,-445.51,445.51
2025-01-06T04:00:00.000000-0500,-496.54,496.54
2025-01-06T05:00:00.000000-0500,-707.6,707.6
2025-01-06T06:00:00.000000-0500,-1889.35,1889.35
2025-01-06T07:00:00.000000-0500,-2279.88,2279.88
2025-01-06T08:00:00.000000-0500,-2608.5,2608.5
2025-01-06T09:00:00.000000-0500,-2167.48,2167.48
2025-01-06T10:00:00.000000-0500,-2463.74,2463.74
