datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,monitored_facility,contingency_facility,shadow_price
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,02FAYET 138 KV  02F-EFY,ACTUAL,-3.27
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-7.32
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-34.94
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-59.67
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,HANOVER 69 KV   HAN-PAR,ACTUAL,-12.12
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-318.94
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,NEWBERRY115 KV  NEW-ROU,230/115.Lewistown.T3,-24.66
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,OTTCRKPL230 KV  OTT-YOR,L500.Conastone-PeachBottom.5012,-5.63
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,02FAYET 138 KV  02F-EFY,ACTUAL,-2.85
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-23.59
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-32.43
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,BRUNNERI230 KV  BRU-WHE,L500.Conastone-PeachBottom.5012,-67.36
